variable,,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,P-fdr,Sig
nps,1,c - l,0.074,-0.308,0.457,0.193,115.0,0.385,0.701,0.9372,
nps,2,c - s,0.013,-0.364,0.389,0.19,115.0,0.067,0.947,0.947,
nps,3,c - m,0.694,0.38,1.008,0.159,115.0,4.377,0.0,0.0,***
nps,4,l - s,-0.062,-0.5,0.377,0.221,115.0,-0.279,0.781,0.9372,
nps,5,l - m,0.62,0.233,1.006,0.195,115.0,3.178,0.002,0.004,**
nps,6,s - m,0.681,0.302,1.061,0.192,115.0,3.554,0.001,0.003,**
na,1,c - l,-0.066,-0.449,0.317,0.194,115.0,-0.341,0.734,0.734,
na,2,c - s,0.152,-0.224,0.529,0.19,115.0,0.801,0.425,0.51,
na,3,c - m,0.431,0.116,0.745,0.159,115.0,2.714,0.008,0.036000000000000004,*
na,4,l - s,0.218,-0.221,0.657,0.222,115.0,0.985,0.326,0.48900000000000005,
na,5,l - m,0.497,0.11,0.883,0.195,115.0,2.545,0.012,0.036000000000000004,*
na,6,s - m,0.278,-0.102,0.659,0.192,115.0,1.451,0.15,0.3,
siips,1,c - l,0.403,0.046,0.759,0.179,82.275,2.247,0.027,0.081,
siips,2,c - s,-0.226,-0.576,0.125,0.176,80.312,-1.279,0.205,0.24599999999999997,
siips,3,c - m,0.073,-0.208,0.355,0.142,111.821,0.514,0.608,0.608,
siips,4,l - s,-0.628,-1.021,-0.235,0.198,111.683,-3.168,0.002,0.012,*
siips,5,l - m,-0.33,-0.69,0.031,0.181,77.213,-1.818,0.073,0.146,
siips,6,s - m,0.299,-0.057,0.654,0.178,75.223,1.673,0.099,0.14850000000000002,
